Video File,Label
v_HulaHoop_g10_c04.avi,HulaHoop
v_PlayingDhol_g25_c04.avi,PlayingDhol
v_GolfSwing_g11_c05.avi,GolfSwing
v_PlayingPiano_g14_c04.avi,PlayingPiano
v_Knitting_g14_c01.avi,Knitting
v_PlayingCello_g04_c06.avi,PlayingCello
v_Lunges_g11_c04.avi,Lunges
v_StillRings_g18_c02.avi,StillRings
v_CuttingInKitchen_g09_c01.avi,CuttingInKitchen
v_SalsaSpin_g25_c01.avi,SalsaSpin
v_BoxingSpeedBag_g06_c01.avi,BoxingSpeedBag
v_BenchPress_g02_c01.avi,BenchPress
v_PlayingDaf_g23_c05.avi,PlayingDaf
v_SoccerPenalty_g09_c01.avi,SoccerPenalty
v_PommelHorse_g06_c02.avi,PommelHorse
v_Shotput_g10_c03.avi,Shotput
v_Haircut_g11_c03.avi,Haircut
v_CleanAndJerk_g24_c01.avi,CleanAndJerk
v_HandStandPushups_g25_c04.avi,HandstandPushups
v_HeadMassage_g10_c03.avi,HeadMassage
v_SkyDiving_g11_c03.avi,SkyDiving
v_Skijet_g11_c03.avi,Skijet
v_WritingOnBoard_g21_c01.avi,WritingOnBoard
v_PlayingCello_g18_c01.avi,PlayingCello
v_CricketShot_g11_c02.avi,CricketShot
v_Fencing_g19_c01.avi,Fencing
v_ThrowDiscus_g01_c03.avi,ThrowDiscus
v_Hammering_g13_c05.avi,Hammering
v_Diving_g22_c06.avi,Diving
v_ThrowDiscus_g15_c03.avi,ThrowDiscus
v_PizzaTossing_g04_c06.avi,PizzaTossing
v_BalanceBeam_g23_c01.avi,BalanceBeam
v_PlayingGuitar_g06_c02.avi,PlayingGuitar
v_BoxingSpeedBag_g04_c06.avi,BoxingSpeedBag
v_Biking_g04_c02.avi,Biking
v_FrontCrawl_g13_c01.avi,FrontCrawl
v_Archery_g09_c01.avi,Archery
v_Billiards_g08_c01.avi,Billiards
v_Archery_g23_c04.avi,Archery
v_SkyDiving_g25_c03.avi,SkyDiving
v_JavelinThrow_g08_c03.avi,JavelinThrow
v_Nunchucks_g17_c03.avi,Nunchucks
v_BreastStroke_g03_c02.avi,BreastStroke
v_GolfSwing_g19_c03.avi,GolfSwing
v_PlayingCello_g17_c03.avi,PlayingCello
v_ShavingBeard_g21_c06.avi,ShavingBeard
v_WritingOnBoard_g20_c07.avi,WritingOnBoard
v_BenchPress_g22_c02.avi,BenchPress
v_RockClimbingIndoor_g10_c06.avi,RockClimbingIndoor
v_HandStandPushups_g21_c03.avi,HandstandPushups
v_Knitting_g17_c06.avi,Knitting
v_HeadMassage_g07_c05.avi,HeadMassage
v_JugglingBalls_g22_c02.avi,JugglingBalls
v_HulaHoop_g08_c04.avi,HulaHoop
v_PlayingFlute_g23_c04.avi,PlayingFlute
v_TennisSwing_g02_c04.avi,TennisSwing
v_CricketBowling_g11_c01.avi,CricketBowling
v_PlayingGuitar_g09_c03.avi,PlayingGuitar
v_BodyWeightSquats_g14_c01.avi,BodyWeightSquats
v_ApplyEyeMakeup_g24_c06.avi,ApplyEyeMakeup
v_PlayingSitar_g03_c02.avi,PlayingSitar
